zip_code,population,median_income,median_age
01469,7168.0,100402.0,40.8
01473,8220.0,95674.0,48.6
01474,1902.0,117109.0,51.8
01475,10180.0,85379.0,39.7
01501,16763.0,101992.0,43.8
01503,3514.0,123077.0,49.7
01504,9195.0,95132.0,43.4
01505,4855.0,133292.0,46.3
01506,3443.0,71122.0,50.6
01507,13338.0,113896.0,43.0
01510,15347.0,89888.0,38.0
01515,2120.0,77122.0,51.7
01516,9213.0,138276.0,43.3
01518,3047.0,102500.0,35.3
01519,7634.0,144452.0,40.3
01520,16893.0,141508.0,41.5
01521,2585.0,81250.0,51.2
01522,2890.0,116894.0,42.0
01523,8395.0,111506.0,42.0
01524,6077.0,88933.0,42.2
01525,31.0,,
01527,13852.0,109119.0,44.0
01529,3176.0,95144.0,47.7
01531,984.0,99318.0,48.3
01532,15647.0,160801.0,44.8
01534,5893.0,123370.0,47.0
01535,4750.0,80380.0,47.7
01536,7282.0,103793.0,41.4
01537,1935.0,67750.0,35.5
01540,11420.0,100757.0,42.1
01541,3497.0,163750.0,49.4
01542,2815.0,106719.0,46.0
01543,9102.0,150685.0,41.4
01545,38734.0,127088.0,39.7
01550,17669.0,55182.0,38.6
01560,4734.0,94464.0,38.6
01562,11955.0,76225.0,47.7
01564,8053.0,131058.0,51.1
01566,6795.0,122844.0,49.0
01568,7828.0,147198.0,44.6
01569,14039.0,124057.0,43.5
01570,17671.0,70644.0,40.6
01571,11885.0,87306.0,41.0
01581,21360.0,133145.0,38.9
01583,7476.0,97736.0,46.8
01585,4841.0,69767.0,52.6
01588,10468.0,88487.0,38.8
01590,9268.0,138750.0,42.5
01602,25869.0,86128.0,39.9
01603,20678.0,58797.0,35.3
01604,40724.0,68823.0,36.7
01605,30590.0,51360.0,32.1
01606,22636.0,82640.0,39.9
01607,8630.0,63718.0,36.3
01608,5080.0,41319.0,29.7
01609,23256.0,58246.0,31.9
01610,27033.0,39570.0,27.5
01611,2188.0,113276.0,41.9
01612,5013.0,130787.0,36.9
01701,32973.0,124532.0,43.5
01702,38898.0,76636.0,35.1
01718,737.0,,38.1
01719,5462.0,151207.0,41.8
01720,23081.0,151339.0,44.2
01721,18634.0,124311.0,41.8
01730,14408.0,143424.0,43.3
01731,1784.0,71250.0,25.5
01740,5653.0,191208.0,40.7
01741,5209.0,247656.0,45.4
01742,18311.0,183657.0,46.4
01745,554.0,162350.0,35.1
01746,14902.0,149614.0,45.1
01747,6021.0,120750.0,43.3
01748,18748.0,191439.0,41.9
01749,19947.0,103086.0,43.4
01752,41391.0,94199.0,38.1
01754,10671.0,112524.0,40.8
01756,6238.0,135909.0,44.7
01757,30411.0,93100.0,40.0
01760,36274.0,133623.0,42.4
01770,4404.0,242688.0,44.3
01772,9867.0,188000.0,42.2
01773,5216.0,185288.0,51.2
01775,7111.0,166833.0,41.0
01776,18926.0,234427.0,43.8
01778,14070.0,207721.0,44.0
01801,40992.0,104780.0,39.2
01803,26004.0,134189.0,43.9
01810,35612.0,162694.0,43.7
01821,30854.0,138397.0,43.1
01824,26612.0,137778.0,43.6
01826,32309.0,102335.0,41.3
01827,3359.0,193583.0,41.8
01830,26885.0,72195.0,38.5
01832,25707.0,78151.0,38.6
01833,8389.0,148810.0,41.8
01834,6742.0,131952.0,42.2
01835,14681.0,102162.0,35.7
01840,6977.0,30696.0,34.9
01841,52738.0,51574.0,30.6
01843,28352.0,72630.0,32.1
01844,52780.0,93739.0,40.6
01845,31624.0,131852.0,38.4
01850,16806.0,66069.0,33.5
01851,32323.0,79330.0,34.8
01852,36546.0,76272.0,37.4
01854,29062.0,66645.0,31.7
01860,6717.0,100321.0,48.2
01862,11126.0,125159.0,43.1
01863,9570.0,128682.0,42.0
01864,15529.0,141442.0,43.9
01867,25443.0,154505.0,44.2
01876,30817.0,120891.0,47.1
01879,12385.0,140901.0,37.5
01880,27026.0,125707.0,43.3
01886,24524.0,174424.0,42.4
01887,23191.0,151034.0,42.1
01890,22809.0,208531.0,42.3
01901,1658.0,20699.0,54.3
01902,51931.0,59445.0,34.9
01904,20078.0,94809.0,40.8
01905,26986.0,74792.0,33.2
01906,28566.0,96064.0,44.4
01907,15208.0,116161.0,45.1
01908,3336.0,105867.0,58.1
01913,17279.0,91010.0,44.7
01915,41611.0,98474.0,39.7
01921,8234.0,203750.0,49.8
01922,3827.0,197583.0,45.9
01923,27734.0,116636.0,44.3
01929,3648.0,133026.0,45.0
01930,29830.0,84465.0,51.0
01937,176.0,,53.3
01938,13791.0,123266.0,47.9
01940,13072.0,157955.0,41.2
01944,5386.0,209052.0,47.8
01945,20373.0,163561.0,49.6
01949,9668.0,168245.0,44.6
01950,18356.0,127306.0,46.5
01951,2896.0,163077.0,57.5
